hold_days,exit_price,exit_reason,pnl_pct,max_profit,max_drawdown,stock_code,signal_date,signal_type,entry_price,wave_gain,consolidation_drawdown,industry,sector_momentum,sector_strong,market_regime,index_code,_hold_bin
14,16.95,trailing_stop,0.11733684904416608,0.23467369808833227,-0.016479894528675015,sh.600026,2026-01-26,bullish_engulfing,15.17,0.179490722959865,0.030790762771168618,银行/金融,0.0007623308611444349,False,bear,sh.000300,11天+
12,23.9,trailing_stop,0.0275150472914874,0.16809974204643163,-0.06792777300085992,sh.600026,2026-03-10,anomaly_no_decline,23.26,0.4018858175807778,0.1325301204819276,银行/金融,0.0007623308611444349,False,bear,sh.000300,11天+
8,23.9,trailing_stop,0.005469078670593143,0.14303744215397568,-0.04627681952040378,sh.600026,2026-03-16,bullish_engulfing,23.77,0.4018858175807778,0.1325301204819276,银行/金融,0.0007623308611444349,False,bear,sh.000300,6-10天
20,21.99,time_exit,-0.1161575562700965,0.09204180064308692,-0.12942122186495172,sh.600026,2026-03-18,bullish_engulfing,24.88,0.4018858175807778,0.1325301204819276,银行/金融,0.0007623308611444349,False,bear,sh.000300,11天+
9,12.44,trailing_stop,-0.02736512900703672,0.12197028928850669,-0.03205629397967149,sh.600054,2026-03-10,bullish_engulfing,12.79,0.20663865019456562,0.14871438498957612,银行/金融,0.0007623308611444349,False,bear,sh.000300,6-10天
7,12.44,trailing_stop,-0.04307692307692312,0.10384615384615382,-0.04769230769230763,sh.600054,2026-03-12,bullish_engulfing,13.0,0.20663865019456562,0.14871438498957612,银行/金融,0.0007623308611444349,False,range,sh.000300,6-10天
12,4.11,trailing_stop,0.14166666666666672,0.32222222222222213,-0.0472222222222222,sh.600067,2025-10-21,bullish_engulfing,3.6,0.2064131026402085,0.10610079575596815,银行/金融,0.0007623308611444349,False,range,sh.000300,11天+
7,4.11,trailing_stop,0.11989100817438703,0.29700272479564027,-0.049046321525885485,sh.600067,2025-10-28,bullish_engulfing,3.67,0.2064131026402085,0.10610079575596815,银行/金融,0.0007623308611444349,False,bull,sh.000300,6-10天
4,4.11,trailing_stop,0.045801526717557293,0.21119592875318055,-0.007633587786259605,sh.600067,2025-10-31,bullish_engulfing,3.93,0.2064131026402085,0.10610079575596815,银行/金融,0.0007623308611444349,False,bull,sh.000300,4-5天
11,4.54,trailing_stop,0.1293532338308459,0.22885572139303506,-0.02736318407960185,sh.600067,2025-11-25,bullish_engulfing,4.02,0.23490443821645535,0.14317673378076057,银行/金融,0.0007623308611444349,False,bear,sh.000300,11天+
