code,close,pct_chg,signal,score,wave_gain,cons_dd,vol_ratio,stop_loss,entry,reasons
002384,169.4,0.0789808917197452,异动不跌,75,0.31115615666019614,0.02261118300074931,0.991593006441055,140.63979999999998,169.4,一波31% | 浅调2% | 多头
603115,48.69,0.10009037505648433,异动不跌,70,0.3636217852093606,0.10338720389639144,0.8752237963381725,39.69,48.69,一波36% | 调10% | 多头
300489,80.26,0.056052631578947354,异动不跌,70,0.381504370087415,0.05958132045088577,1.143456476917678,62.95519999999999,80.26,一波38% | 浅调6% | 多头
002273,32.39,0.03880692751763948,异动不跌,65,0.32306975861019005,0.061441381600797006,1.301506817461538,27.6948,32.39,一波32% | 浅调6% | 多头
002620,9.82,0.05026737967914441,异动不跌,60,0.31904100149455084,0.06236559139784947,1.0547471336161762,8.5456,9.82,一波32% | 浅调6%
300686,19.05,0.0702247191011236,阳包阴,60,0.3759279324101017,0.10849539406345944,0.9897598421875463,17.0716,19.05,一波38% | 调11% | 多头
301070,99.83,0.07194244604316546,异动不跌,60,0.44053758389566666,0.09644670050761421,1.0889571347638654,87.22,99.83,一波44% | 调10%
002957,50.05,0.04357798165137616,阳包阴,55,0.45894735498516015,0.05222437137330746,0.9864885399810936,38.416000000000004,50.05,一波46% | 浅调5% | 多头
002975,98.83,0.03922187171398539,异动不跌,55,0.2568422642924133,0.027868667494076488,1.1927373303824886,84.43679999999999,98.83,一波26% | 浅调3% | 多头
300632,17.52,0.060532687651331685,异动不跌,55,0.24046691838524947,0.09933774834437079,1.163380447781945,14.6608,17.52,一波24% | 调10% | 多头
300819,53.76,0.031465848042977695,异动不跌,55,0.26811256062201494,0.04461538461538462,1.0841311852106992,48.6864,53.76,一波27% | 浅调4% | 多头
600259,104.86,0.01050399922906431,异动不跌,50,0.2025710100164273,0.07311963125916604,0.898856746505486,86.7104,104.86,一波20% | 浅调7% | 多头
002436,28.21,0.06252354048964226,阳包阴,50,0.2660445083463372,0.03343823760818259,1.239772526056474,24.0786,28.21,一波27% | 浅调3% | 多头
002938,69.25,0.051313192652193695,异动不跌,50,0.17460278314783562,0.01972484667661193,1.0619004444913598,57.9572,69.25,浅调2% | 多头
300620,256.82,0.023513470428822014,异动不跌,50,0.23468881753925186,0.040186580552565514,0.9034590964921434,209.72,256.82,一波23% | 浅调4% | 多头
301183,205.9,0.06579015476991557,阳包阴,50,0.2183401725956089,0.06789178152118433,1.240948667543164,178.94799999999998,205.9,一波22% | 浅调7% | 多头
301285,105.6,0.02127659574468077,异动不跌,50,0.21076079287042737,0.03602094240837694,0.9267936680499321,90.2188,105.6,一波21% | 浅调4% | 多头
600173,7.76,0.01041666666666674,异动不跌,45,0.21244629668589732,0.09685534591194975,0.7267382116508534,7.0363999999999995,7.76,一波21% | 调10% | 多头
603067,37.3,0.05070422535211261,异动不跌,45,0.22070043358960545,0.12490382149269054,1.029223439276165,33.437599999999996,37.3,一波22% | 调12%
603687,19.55,0.024096385542168752,异动不跌,45,0.20597916830504182,0.14151982378854627,1.1184980533823439,15.2782,19.55,一波21% | 调14% | 多头
300179,27.57,0.040770101925254876,异动不跌,45,0.18088102357769942,0.05535055350553511,1.1279755966745326,22.5792,27.57,浅调6% | 多头
